stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1995,282-02,"Wadów Działki","02",50.092730,20.139390,1,,0,,,0
2025,284-01,"Oczyszczalnia Ścieków Kujawy","01",50.052720,20.101830,1,,0,,,0
2026,284-02,"Oczyszczalnia Ścieków Kujawy","02",50.051830,20.101730,1,,0,,,0
2046,285-01,"Elektrociepłownia","01",50.051280,20.003880,1,,0,,,0
2066,286-01,"Isep","01",50.054770,20.021100,1,,0,,,0
2067,286-02,"Isep","02",50.054590,20.021250,1,,0,,,0
2078,287-01,"Stręcka","01",50.051270,20.014590,1,,0,,,0
2079,287-02,"Stręcka","02",50.051310,20.014710,1,,0,,,0
2080,288-01,"Bulwarowa","01",50.071160,20.053530,1,,0,,,0
2081,289-01,"Wiklinowa","01",50.055670,20.024490,1,,0,,,0
2082,289-02,"Wiklinowa","02",50.055890,20.025130,1,,0,,,0
2083,290-01,"Nadbrzezie","01",50.070070,20.101770,1,,0,,,0
2084,290-02,"Nadbrzezie","02",50.070000,20.101650,1,,0,,,0
2091,292-03,"Kampus UP JP II","03",50.020800,19.898710,1,,0,,,0
2092,292-04,"Kampus UP JP II","04",50.020160,19.897490,1,,0,,,0
2094,293-02,"Czerwone Maki P+R","02",50.017400,19.888610,1,,0,,,0
2095,293-03,"Czerwone Maki P+R","03",50.017580,19.890370,1,,0,,,0
2096,293-04,"Czerwone Maki P+R","04",50.018320,19.889190,1,,0,,,0
2097,293-06,"Czerwone Maki P+R","06",50.018090,19.888820,1,,0,,,0
2104,298-01,"Kliny Zacisze","01",50.001650,19.900900,1,,0,,,0
2105,298-02,"Kliny Zacisze","02",50.001240,19.900270,1,,0,,,0
2106,299-02,"Kliny","02",49.998620,19.897230,1,,0,,,0
2111,300-02,"Komorowskiego","02",50.053380,19.921890,1,,0,,,0
2113,301-02,"Salwator","02",50.052720,19.915030,1,,0,,,0
2116,301-05,"Salwator","05",50.053120,19.916610,1,,0,,,0
2122,302-01,"Malczewskiego","01",50.048880,19.901660,1,,0,,,0
2123,302-02,"Malczewskiego","02",50.048740,19.903570,1,,0,,,0
2124,302-03,"Malczewskiego","03",50.049000,19.904130,1,,0,,,0
2125,302-04,"Malczewskiego","04",50.049780,19.903150,1,,0,,,0
2126,303-01,"Wodociągowa","01",50.048130,19.896870,1,,0,,,0
2127,303-02,"Wodociągowa","02",50.048130,19.897630,1,,0,,,0
2128,304-01,"Benedyktowicza","01",50.047620,19.889040,1,,0,,,0
2129,304-02,"Benedyktowicza","02",50.047650,19.890950,1,,0,,,0
2130,305-01,"Glinnik","01",50.046750,19.882350,1,,0,,,0
2131,305-02,"Glinnik","02",50.047070,19.883490,1,,0,,,0
2132,306-01,"Przegorzały","01",50.046830,19.871180,1,,0,,,0
2133,306-02,"Przegorzały","02",50.046760,19.870880,1,,0,,,0
2134,307-01,"Zaskale","01",50.046790,19.865130,1,,0,,,0
2135,307-02,"Zaskale","02",50.046670,19.865150,1,,0,,,0
2136,308-01,"Na Krępaku","01",50.045180,19.859400,1,,0,,,0
2138,308-04,"Na Krępaku","04",50.045620,19.860120,1,,0,,,0
2139,309-01,"Bielańskie Skały","01",50.044120,19.850830,1,,0,,,0
2140,309-02,"Bielańskie Skały","02",50.044080,19.851430,1,,0,,,0
2141,310-01,"Wodociągi","01",50.041850,19.841190,1,,0,,,0
2142,310-02,"Wodociągi","02",50.041100,19.839960,1,,0,,,0
2143,311-01,"Bielany Klasztor","01",50.043480,19.830930,1,,0,,,0
2144,311-02,"Bielany Klasztor","02",50.043320,19.831230,1,,0,,,0
2145,312-01,"Bielany Szkoła","01",50.044160,19.825710,1,,0,,,0
2146,312-02,"Bielany Szkoła","02",50.044080,19.827670,1,,0,,,0
2148,313-01,"Bielany","01",50.043320,19.819840,1,,0,,,0
2157,317-01,"Białe Wzgórze","01",50.051530,19.908680,1,,0,,,0
2158,317-02,"Białe Wzgórze","02",50.051530,19.909000,1,,0,,,0
2159,318-01,"Aleja Waszyngtona","01",50.053350,19.897640,1,,0,,,0
2160,318-02,"Aleja Waszyngtona","02",50.053140,19.896110,1,,0,,,0
2161,319-01,"Kopiec Kościuszki","01",50.055280,19.892600,1,,0,,,0
2162,320-01,"Instytut Reumatologii","01",50.057720,19.914260,1,,0,,,0
2163,320-02,"Instytut Reumatologii","02",50.057730,19.913710,1,,0,,,0
2164,321-01,"Przegon","01",50.056450,19.905340,1,,0,,,0
2165,321-02,"Przegon","02",50.056440,19.904670,1,,0,,,0
2167,322-02,"Owcy-Orwicza","02",50.059710,19.894480,1,,0,,,0
